Aerial Duels Lost,Aerial Duels Won,Blocks,Passess Blocked,Shots Blocked,Shots on Target Blocked,Carries into Final Third,Carries into Penalty Area,Carries,Dispossessions,Miscontrols,Progressive Distance via Carries,Attempted Dribbles,Nutmegs,Successful Dribbles,npxG,xG,GCA,Red Cards,Yellow Cards,Crosses,Number of times fouled,Fouls,Own Goals,Offsides,Number of Penalty Kicks Conceded,Number of Penalty Kicks Won,Recoveries,Minutes,Pressures in Attacking 3rd,Pressures in Defensive 3rd,Pressures in Middle 3rd,Pressures,Successful Pressues,Receiving_Prog,Passes Received,Pass Targets,SCA,Goals,Shots,Shots on Target,Tackles in Attacking 3rd,Tackles in Defensive 3rd,Tackles in Middle 3rd,Tackles Attempted,Tackles Won,Team Country,Team Name,Touches in Attacking 3rd,Touches in Attacking Penalty Area,Touches in Defensive 3rd,Touches in Defensive Penalty Area,Touches in Middle 3rd,Touches,Player Name,Assists,Nationality,xA,Key Passes,Passes into Final Third,Interceptions,Passes into Penalty Area,Crosses into Penalty Area,Clearances,Errors,Age,MP,Dribbles contested,Number of times dribbled past,Dribblers tackled,Position 1,Position 2,Position 3
7.0,18.0,9.0,7.0,2.0,0.0,6.0,0.0,240.0,2.0,2.0,940.0,0.0,0.0,0.0,1.3,1.3,0.0,0,0,0,6,1,0,0,0.0,0.0,51.0,450.0,3.0,12.0,10.0,25.0,13.0,3.0,258.0,259.0,3.0,1,7,2,1.0,4.0,3.0,8.0,6,ENG,Arsenal,29.0,8.0,175.0,47.0,199.0,370.0,Gabriel Dos Santos,0,BRA,0.0,0.0,18.0,5,1.0,0.0,23.0,1.0,24.0,5.0,5.0,2.0,3.0,DF,,
7.0,7.0,7.0,5.0,2.0,1.0,0.0,0.0,250.0,2.0,0.0,713.0,1.0,0.0,1.0,0.1,0.1,2.0,0,1,0,2,5,1,0,0.0,0.0,61.0,450.0,3.0,10.0,11.0,24.0,12.0,0.0,256.0,257.0,5.0,1,1,1,0.0,2.0,3.0,5.0,4,ENG,Arsenal,7.0,2.0,194.0,34.0,186.0,363.0,William Saliba,1,FRA,0.9,2.0,10.0,14,1.0,0.0,15.0,0.0,21.0,5.0,2.0,1.0,1.0,DF,,
3.0,6.0,7.0,6.0,1.0,0.0,6.0,2.0,201.0,5.0,3.0,311.0,4.0,0.0,3.0,0.7,0.7,2.0,0,1,4,8,3,0,1,0.0,0.0,42.0,447.0,5.0,8.0,16.0,29.0,10.0,27.0,234.0,250.0,19.0,1,4,1,0.0,1.0,1.0,2.0,2,ENG,Arsenal,110.0,18.0,51.0,15.0,166.0,317.0,Granit Xhaka,2,SUI,0.4,9.0,17.0,3,6.0,0.0,9.0,0.0,29.0,5.0,6.0,5.0,1.0,MF,,
5.0,6.0,6.0,6.0,0.0,0.0,11.0,11.0,183.0,11.0,7.0,650.0,16.0,0.0,11.0,1.0,1.0,5.0,0,0,8,11,6,0,2,0.0,0.0,31.0,437.0,24.0,14.0,19.0,57.0,18.0,35.0,180.0,224.0,17.0,0,10,2,3.0,3.0,0.0,6.0,6,ENG,Arsenal,157.0,35.0,29.0,2.0,92.0,256.0,Bukayo Saka,2,ENG,0.8,10.0,7.0,5,8.0,0.0,2.0,0.0,20.0,5.0,3.0,3.0,0.0,FW,,
2.0,6.0,7.0,7.0,0.0,0.0,9.0,7.0,175.0,11.0,11.0,529.0,17.0,0.0,12.0,1.7,1.7,3.0,0,0,21,12,7,0,1,0.0,0.0,19.0,433.0,34.0,9.0,24.0,67.0,20.0,43.0,167.0,206.0,21.0,3,19,7,5.0,2.0,1.0,8.0,5,ENG,Arsenal,155.0,34.0,10.0,1.0,83.0,232.0,Martinelli,0,BRA,1.7,13.0,9.0,3,10.0,2.0,2.0,0.0,21.0,5.0,3.0,2.0,1.0,FW,,
24.0,10.0,6.0,5.0,1.0,0.0,7.0,1.0,154.0,19.0,18.0,293.0,20.0,1.0,11.0,3.3,3.3,2.0,0,2,7,12,10,0,4,0.0,0.0,24.0,430.0,38.0,5.0,30.0,73.0,19.0,47.0,171.0,240.0,20.0,3,18,7,1.0,1.0,1.0,3.0,3,ENG,Arsenal,138.0,53.0,13.0,0.0,91.0,228.0,Gabriel Jesus,3,BRA,1.1,7.0,9.0,8,8.0,3.0,0.0,0.0,25.0,5.0,5.0,4.0,1.0,FW,,
6.0,6.0,4.0,4.0,0.0,0.0,11.0,2.0,215.0,12.0,8.0,473.0,12.0,2.0,10.0,1.5,1.5,1.0,0,1,3,2,5,0,0,0.0,0.0,49.0,421.0,26.0,10.0,39.0,75.0,33.0,28.0,225.0,248.0,20.0,3,12,5,2.0,3.0,3.0,8.0,7,ENG,Arsenal,143.0,17.0,38.0,7.0,149.0,316.0,Martin Odegaard,0,NOR,0.4,6.0,18.0,5,15.0,2.0,1.0,0.0,23.0,5.0,6.0,6.0,0.0,MF,,
4.0,8.0,14.0,12.0,2.0,0.0,7.0,0.0,210.0,0.0,3.0,505.0,4.0,0.0,2.0,0.0,0.0,1.0,0,2,4,7,4,0,0,0.0,0.0,32.0,392.0,5.0,14.0,27.0,46.0,20.0,2.0,221.0,225.0,5.0,0,0,0,1.0,5.0,5.0,11.0,8,ENG,Arsenal,76.0,4.0,88.0,10.0,191.0,336.0,Ben White,0,ENG,0.5,2.0,22.0,12,4.0,0.0,5.0,0.0,24.0,5.0,11.0,2.0,9.0,DF,,
6.0,7.0,6.0,5.0,1.0,0.0,1.0,1.0,118.0,3.0,3.0,216.0,6.0,0.0,5.0,0.3,0.3,0.0,0,0,1,2,7,0,0,0.0,0.0,34.0,270.0,8.0,15.0,28.0,51.0,22.0,2.0,136.0,143.0,6.0,0,4,0,1.0,5.0,6.0,12.0,8,ENG,Arsenal,32.0,4.0,53.0,7.0,126.0,202.0,Thomas Partey,0,GHA,0.0,0.0,8.0,3,0.0,0.0,4.0,0.0,29.0,3.0,5.0,4.0,1.0,MF,,
3.0,3.0,2.0,2.0,0.0,0.0,8.0,2.0,139.0,1.0,2.0,477.0,3.0,1.0,2.0,0.1,0.1,1.0,0,0,4,1,0,0,0,0.0,0.0,30.0,248.0,9.0,4.0,13.0,26.0,6.0,5.0,144.0,149.0,5.0,0,3,1,2.0,2.0,1.0,5.0,2,ENG,Arsenal,65.0,5.0,42.0,6.0,114.0,206.0,Oleksandr Zinchenko,1,UKR,0.3,2.0,10.0,8,2.0,1.0,3.0,0.0,25.0,3.0,6.0,4.0,2.0,DF,,
