Aerial Duels Lost,Aerial Duels Won,Blocks,Passess Blocked,Shots Blocked,Shots on Target Blocked,Carries into Final Third,Carries into Penalty Area,Carries,Dispossessions,Miscontrols,Progressive Distance via Carries,Attempted Dribbles,Nutmegs,Successful Dribbles,npxG,xG,GCA,Red Cards,Yellow Cards,Crosses,Number of times fouled,Fouls,Own Goals,Offsides,Number of Penalty Kicks Conceded,Number of Penalty Kicks Won,Recoveries,Minutes,Pressures in Attacking 3rd,Pressures in Defensive 3rd,Pressures in Middle 3rd,Pressures,Successful Pressues,Receiving_Prog,Passes Received,Pass Targets,SCA,Goals,Shots,Shots on Target,Tackles in Attacking 3rd,Tackles in Defensive 3rd,Tackles in Middle 3rd,Tackles Attempted,Tackles Won,Team Country,Team Name,Touches in Attacking 3rd,Touches in Attacking Penalty Area,Touches in Defensive 3rd,Touches in Defensive Penalty Area,Touches in Middle 3rd,Touches,Player Name,Assists,Nationality,xA,Key Passes,Passes into Final Third,Interceptions,Passes into Penalty Area,Crosses into Penalty Area,Clearances,Errors,Age,MP,Dribbles contested,Number of times dribbled past,Dribblers tackled,Position 1,Position 2,Position 3
7.0,4.0,5.0,4.0,1.0,0.0,3.0,0.0,79.0,0.0,3.0,221.0,0.0,0.0,0.0,0.1,0.1,0.0,0,0,2,0,0,0,0,0.0,0.0,19.0,175.0,6.0,2.0,8.0,16.0,6.0,1.0,81.0,87.0,3.0,0,3,1,0.0,0.0,1.0,1.0,1,ENG,Arsenal,38.0,2.0,33.0,2.0,70.0,133.0,Kieran Tierney,0,SCO,0.0,1.0,4.0,7,2.0,0.0,6.0,0.0,25.0,5.0,2.0,2.0,0.0,DF,,
1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,50.0,0.0,0.0,105.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,4,0,0,0,0.0,0.0,13.0,94.0,1.0,0.0,5.0,6.0,1.0,0.0,48.0,49.0,2.0,0,0,0,1.0,0.0,0.0,1.0,0,ENG,Arsenal,11.0,0.0,11.0,4.0,49.0,66.0,Albert Sambi Lokonga,0,BEL,0.0,0.0,7.0,0,0.0,0.0,3.0,0.0,22.0,3.0,0.0,0.0,0.0,MF,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,0.0,7.0,90.0,1.0,0.0,4.0,5.0,3.0,0.0,45.0,46.0,0.0,0,0,0,0.0,1.0,0.0,1.0,1,ENG,Arsenal,12.0,0.0,9.0,1.0,34.0,53.0,Mohamed Elneny,0,EGY,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,30.0,1.0,1.0,0.0,1.0,MF,,
6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,35.0,1.0,3.0,174.0,6.0,0.0,5.0,0.7,0.7,0.0,0,0,1,2,4,0,1,0.0,0.0,4.0,65.0,1.0,0.0,6.0,7.0,2.0,8.0,31.0,46.0,5.0,0,6,3,0.0,0.0,1.0,1.0,1,ENG,Arsenal,21.0,7.0,5.0,1.0,16.0,38.0,Eddie Nketiah,0,ENG,0.2,2.0,0.0,1,2.0,0.0,1.0,0.0,23.0,5.0,1.0,1.0,0.0,FW,,
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1,2,3,0,0,0.0,0.0,6.0,60.0,3.0,5.0,9.0,17.0,3.0,0.0,28.0,30.0,3.0,0,0,0,0.0,1.0,2.0,3.0,1,ENG,Arsenal,8.0,2.0,17.0,3.0,27.0,50.0,Takehiro Tomiyasu,0,JPN,0.1,1.0,3.0,2,1.0,0.0,3.0,0.0,23.0,4.0,1.0,0.0,1.0,DF,,
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,14.0,3.0,0.0,2.0,0.1,0.1,0.0,0,0,0,1,1,0,0,0.0,0.0,7.0,34.0,2.0,4.0,5.0,11.0,3.0,1.0,11.0,15.0,3.0,0,1,1,0.0,1.0,0.0,1.0,1,ENG,Arsenal,11.0,1.0,8.0,1.0,8.0,25.0,Emile Smith Rowe,0,ENG,0.5,3.0,1.0,0,1.0,0.0,0.0,0.0,22.0,3.0,2.0,1.0,1.0,MF,FW,
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.0,0.0,1.0,1,ENG,Arsenal,0.0,0.0,2.0,0.0,0.0,2.0,Rob Holding,0,ENG,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,26.0,2.0,0.0,0.0,0.0,DF,,
2.0,4.0,2.0,2.0,0.0,0.0,5.0,2.0,117.0,6.0,4.0,266.0,3.0,0.0,2.0,2.3,3.3,0.0,0,0,2,2,0,0,5,0.0,1.0,13.0,270.0,18.0,1.0,11.0,30.0,10.0,28.0,166.0,197.0,15.0,3,19,9,0.0,1.0,0.0,1.0,0,ESP,Real Madrid,115.0,31.0,13.0,0.0,73.0,196.0,Karim Benzema,1,FRA,0.1,5.0,10.0,1,5.0,0.0,0.0,0.0,34.0,3.0,0.0,0.0,0.0,FW,,
2.0,0.0,1.0,1.0,0.0,0.0,5.0,13.0,142.0,9.0,12.0,656.0,17.0,1.0,6.0,1.8,1.8,3.0,0,0,4,12,2,0,2,0.0,0.0,10.0,254.0,19.0,7.0,9.0,35.0,10.0,38.0,146.0,166.0,19.0,2,13,6,2.0,2.0,1.0,5.0,4,ESP,Real Madrid,137.0,35.0,9.0,0.0,41.0,171.0,Vinicius Junior,1,BRA,0.8,9.0,2.0,3,6.0,1.0,0.0,0.0,22.0,3.0,4.0,3.0,1.0,FW,,
4.0,6.0,7.0,6.0,1.0,0.0,6.0,0.0,155.0,1.0,1.0,443.0,4.0,0.0,2.0,0.1,0.1,3.0,0,0,1,3,7,0,0,0.0,0.0,28.0,237.0,5.0,19.0,23.0,47.0,11.0,2.0,163.0,170.0,11.0,0,3,0,0.0,2.0,2.0,4.0,4,ESP,Real Madrid,41.0,4.0,62.0,15.0,137.0,220.0,Aurelien Tchouameni,1,FRA,0.2,5.0,17.0,4,1.0,0.0,6.0,0.0,22.0,3.0,3.0,2.0,1.0,MF,,
2.0,2.0,6.0,6.0,0.0,0.0,9.0,1.0,99.0,2.0,3.0,612.0,3.0,0.0,2.0,0.3,0.3,1.0,0,0,3,4,1,0,0,0.0,0.0,16.0,237.0,13.0,9.0,11.0,33.0,9.0,14.0,115.0,128.0,13.0,1,6,5,1.0,0.0,2.0,3.0,3,ESP,Real Madrid,73.0,6.0,18.0,1.0,68.0,143.0,Federico Valverde,0,URU,0.5,6.0,11.0,1,4.0,1.0,0.0,0.0,24.0,3.0,5.0,3.0,2.0,FW,MF,
2.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,73.0,0.0,1.0,185.0,0.0,0.0,0.0,0.3,0.3,0.0,0,0,1,0,0,0,0,0.0,0.0,19.0,202.0,0.0,6.0,8.0,14.0,3.0,1.0,74.0,75.0,2.0,0,3,1,0.0,0.0,1.0,1.0,1,ESP,Real Madrid,8.0,4.0,66.0,18.0,49.0,116.0,Antonio Rudiger,0,GER,0.2,1.0,3.0,4,2.0,0.0,7.0,0.0,29.0,3.0,0.0,0.0,0.0,DF,,
2.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,87.0,1.0,0.0,174.0,1.0,0.0,1.0,0.5,0.5,0.0,0,0,5,1,4,0,2,0.0,0.0,14.0,188.0,2.0,7.0,10.0,19.0,6.0,6.0,99.0,104.0,3.0,1,3,2,0.0,1.0,2.0,3.0,1,ESP,Real Madrid,49.0,7.0,24.0,4.0,73.0,139.0,Lucas Vazquez,0,ESP,0.1,2.0,9.0,2,3.0,2.0,1.0,0.0,31.0,3.0,2.0,0.0,2.0,DF,,
2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,80.0,1.0,1.0,145.0,2.0,0.0,1.0,0.2,0.2,2.0,0,1,4,0,2,0,0,0.0,0.0,14.0,183.0,4.0,2.0,10.0,16.0,2.0,4.0,85.0,89.0,5.0,1,2,1,0.0,2.0,1.0,3.0,3,ESP,Real Madrid,26.0,3.0,55.0,19.0,46.0,125.0,David Alaba,1,AUT,0.1,4.0,8.0,1,1.0,1.0,5.0,0.0,30.0,3.0,2.0,0.0,2.0,DF,,
4.0,5.0,8.0,2.0,6.0,0.0,0.0,0.0,69.0,1.0,2.0,237.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,0,2,2,0,0,1.0,0.0,9.0,180.0,1.0,6.0,3.0,10.0,2.0,0.0,79.0,81.0,0.0,0,1,0,0.0,1.0,1.0,2.0,1,ESP,Real Madrid,3.0,1.0,78.0,39.0,51.0,119.0,Eder Militao,0,BRA,0.0,0.0,5.0,2,0.0,0.0,6.0,0.0,24.0,2.0,1.0,0.0,1.0,DF,,
2.0,3.0,4.0,3.0,1.0,0.0,5.0,0.0,120.0,2.0,1.0,252.0,5.0,0.0,2.0,0.1,0.1,3.0,0,0,3,3,2,0,0,0.0,0.0,10.0,178.0,8.0,5.0,15.0,28.0,8.0,5.0,148.0,158.0,7.0,1,3,1,0.0,1.0,0.0,1.0,0,ESP,Real Madrid,51.0,2.0,28.0,3.0,111.0,179.0,Luka Modric,1,CRO,1.3,4.0,17.0,3,4.0,1.0,0.0,0.0,36.0,3.0,4.0,3.0,1.0,MF,,
1.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,114.0,2.0,2.0,311.0,5.0,0.0,4.0,0.0,0.0,0.0,0,0,4,2,0,0,0,0.0,0.0,14.0,163.0,2.0,8.0,6.0,16.0,4.0,3.0,110.0,113.0,4.0,0,0,0,0.0,2.0,0.0,2.0,2,ESP,Real Madrid,61.0,3.0,36.0,5.0,63.0,149.0,Ferland Mendy,0,FRA,0.1,3.0,15.0,2,2.0,1.0,2.0,0.0,27.0,2.0,3.0,2.0,1.0,DF,,
1.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,147.0,2.0,1.0,344.0,2.0,0.0,1.0,0.1,0.1,0.0,0,0,9,4,1,0,0,0.0,0.0,14.0,161.0,9.0,3.0,13.0,25.0,2.0,5.0,158.0,163.0,6.0,0,4,2,0.0,0.0,1.0,1.0,0,ESP,Real Madrid,63.0,4.0,29.0,3.0,121.0,205.0,Toni Kroos,0,GER,0.4,4.0,29.0,3,2.0,2.0,1.0,0.0,32.0,2.0,0.0,0.0,0.0,MF,,
2.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,91.0,3.0,4.0,383.0,4.0,0.0,3.0,0.1,0.1,0.0,0,1,1,7,3,0,0,0.0,0.0,12.0,160.0,7.0,15.0,21.0,43.0,12.0,8.0,90.0,96.0,11.0,0,3,0,0.0,2.0,1.0,3.0,1,ESP,Real Madrid,42.0,4.0,31.0,1.0,59.0,114.0,Eduardo Camavinga,0,FRA,0.2,4.0,8.0,2,3.0,1.0,0.0,0.0,19.0,3.0,2.0,2.0,0.0,MF,,
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,48.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,2,0,0,0.0,0.0,13.0,90.0,0.0,2.0,3.0,5.0,4.0,0.0,39.0,39.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,ESP,Real Madrid,3.0,0.0,27.0,7.0,38.0,63.0,Nacho,0,ESP,0.0,0.0,4.0,4,0.0,0.0,2.0,0.0,32.0,1.0,0.0,0.0,0.0,DF,,
1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0.0,0.0,8.0,74.0,0.0,2.0,3.0,5.0,1.0,2.0,33.0,33.0,2.0,0,1,0,0.0,0.0,1.0,1.0,1,ESP,Real Madrid,9.0,1.0,19.0,3.0,27.0,53.0,Dani Carvajal,0,ESP,0.0,0.0,4.0,0,1.0,0.0,2.0,0.0,30.0,2.0,2.0,1.0,1.0,DF,,
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,0.0,1.0,98.0,1.0,0.0,0.0,0.0,0.8,1.0,0,0,0,2,0,0,0,0.0,0.0,1.0,41.0,1.0,1.0,0.0,2.0,1.0,1.0,32.0,34.0,3.0,0,0,0,0.0,0.0,0.0,0.0,0,ESP,Real Madrid,14.0,3.0,5.0,0.0,18.0,34.0,Eden Hazard,0,BEL,0.1,1.0,4.0,0,0.0,0.0,0.0,0.0,31.0,2.0,1.0,1.0,0.0,FW,,
1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,24.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,2,0,0,0,0.0,0.0,1.0,33.0,2.0,3.0,3.0,8.0,2.0,2.0,26.0,29.0,3.0,0,0,0,0.0,1.0,0.0,1.0,1,ESP,Real Madrid,7.0,0.0,12.0,2.0,21.0,34.0,Dani Ceballos,0,ESP,0.0,1.0,3.0,2,0.0,0.0,0.0,0.0,26.0,3.0,0.0,0.0,0.0,MF,,
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,65.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,1,0.0,0.0,2.0,33.0,2.0,2.0,1.0,5.0,2.0,4.0,12.0,17.0,3.0,0,1,0,0.0,0.0,0.0,0.0,0,ESP,Real Madrid,9.0,3.0,1.0,0.0,7.0,15.0,Rodrygo,1,BRA,0.6,2.0,0.0,0,2.0,1.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,FW,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,0.1,0.1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,8.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,0.0,0,1,0,0.0,1.0,0.0,1.0,1,ESP,Real Madrid,1.0,1.0,1.0,0.0,1.0,3.0,Marco Asensio,0,ESP,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,FW,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,7.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,ESP,Real Madrid,0.0,0.0,2.0,0.0,8.0,10.0,Casemiro,0,BRA,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,30.0,1.0,0.0,0.0,0.0,MF,,
3.0,11.0,2.0,0.0,2.0,0.0,0.0,0.0,116.0,0.0,0.0,276.0,2.0,0.0,2.0,0.1,0.1,0.0,0,0,0,5,2,0,0,0.0,0.0,22.0,270.0,0.0,14.0,6.0,20.0,10.0,0.0,124.0,125.0,1.0,0,1,0,0.0,1.0,1.0,2.0,2,ESP,Betis,2.0,2.0,122.0,36.0,71.0,184.0,Edgar Gonzalez,0,ESP,0.0,0.0,2.0,2,0.0,0.0,20.0,0.0,25.0,3.0,2.0,1.0,1.0,DF,,
5.0,2.0,5.0,3.0,2.0,0.0,4.0,2.0,125.0,3.0,3.0,340.0,8.0,0.0,3.0,0.1,0.1,1.0,0,0,11,6,2,0,0,0.0,0.0,21.0,270.0,2.0,17.0,9.0,28.0,7.0,12.0,120.0,131.0,3.0,0,2,1,0.0,3.0,0.0,3.0,2,ESP,Betis,66.0,9.0,62.0,9.0,89.0,200.0,Alex Moreno,1,ESP,0.1,2.0,9.0,4,3.0,0.0,8.0,0.0,29.0,3.0,6.0,6.0,0.0,DF,,
3.0,3.0,3.0,3.0,0.0,0.0,5.0,1.0,200.0,1.0,3.0,298.0,10.0,0.0,8.0,0.5,0.5,0.0,0,1,0,8,3,0,0,0.0,0.0,23.0,267.0,7.0,10.0,22.0,39.0,14.0,3.0,212.0,219.0,2.0,0,3,1,0.0,2.0,4.0,6.0,6,ESP,Betis,47.0,4.0,40.0,0.0,186.0,260.0,William Carvalho,1,POR,0.1,1.0,21.0,3,1.0,0.0,3.0,0.0,30.0,3.0,3.0,3.0,0.0,MF,,
3.0,8.0,5.0,5.0,0.0,0.0,1.0,0.0,115.0,3.0,3.0,92.0,4.0,0.0,3.0,0.0,0.0,1.0,0,1,0,7,2,0,0,0.0,0.0,32.0,266.0,8.0,14.0,27.0,49.0,15.0,0.0,122.0,124.0,2.0,0,0,0,1.0,2.0,3.0,6.0,4,ESP,Betis,18.0,0.0,53.0,6.0,124.0,187.0,Guido Rodriguez,0,ARG,0.0,1.0,14.0,4,2.0,0.0,6.0,0.0,28.0,3.0,7.0,5.0,2.0,MF,,
5.0,2.0,3.0,3.0,0.0,0.0,2.0,1.0,96.0,1.0,2.0,207.0,7.0,0.0,3.0,0.0,0.0,1.0,0,1,2,3,5,0,0,0.0,0.0,19.0,258.0,7.0,20.0,12.0,39.0,8.0,4.0,96.0,104.0,6.0,0,2,0,1.0,4.0,1.0,6.0,0,ESP,Betis,42.0,2.0,53.0,7.0,89.0,172.0,Aitor Ruibal,0,ESP,0.2,1.0,11.0,9,2.0,1.0,9.0,0.0,26.0,3.0,5.0,3.0,2.0,DF,,
3.0,6.0,2.0,1.0,1.0,1.0,0.0,0.0,117.0,1.0,0.0,196.0,0.0,0.0,0.0,0.2,0.2,0.0,1,1,1,2,2,0,0,0.0,0.0,24.0,252.0,1.0,10.0,8.0,19.0,6.0,0.0,126.0,127.0,1.0,0,1,0,0.0,1.0,0.0,1.0,1,ESP,Betis,7.0,4.0,114.0,22.0,63.0,177.0,German Pezzella,0,ARG,0.1,1.0,4.0,5,1.0,0.0,13.0,0.0,31.0,3.0,0.0,0.0,0.0,DF,,
6.0,3.0,2.0,2.0,0.0,0.0,4.0,2.0,91.0,2.0,4.0,168.0,13.0,0.0,6.0,1.6,1.6,2.0,0,2,0,9,4,0,4,0.0,0.0,11.0,243.0,11.0,8.0,22.0,41.0,11.0,15.0,89.0,116.0,9.0,2,6,3,1.0,0.0,1.0,2.0,2,ESP,Betis,41.0,10.0,9.0,2.0,72.0,114.0,Juanmi,0,ESP,0.2,2.0,3.0,3,1.0,0.0,1.0,0.0,29.0,3.0,7.0,6.0,1.0,FW,,
2.0,2.0,3.0,3.0,0.0,0.0,5.0,5.0,131.0,3.0,7.0,362.0,6.0,1.0,3.0,0.3,0.3,3.0,0,2,3,10,6,0,1,0.0,1.0,12.0,242.0,23.0,9.0,27.0,59.0,18.0,23.0,144.0,174.0,10.0,0,6,1,3.0,1.0,0.0,4.0,1,ESP,Betis,89.0,14.0,10.0,0.0,94.0,182.0,Nabil Fekir,1,FRA,1.0,3.0,12.0,1,3.0,0.0,0.0,0.0,29.0,3.0,2.0,1.0,1.0,MF,,
3.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,57.0,4.0,10.0,87.0,1.0,0.0,0.0,1.2,2.7,0.0,0,0,0,8,5,0,2,0.0,0.0,8.0,230.0,23.0,3.0,12.0,38.0,11.0,15.0,71.0,106.0,2.0,4,6,3,0.0,1.0,0.0,1.0,0,ESP,Betis,47.0,14.0,8.0,2.0,41.0,92.0,Borja Iglesias,0,ESP,0.0,0.0,2.0,0,2.0,0.0,0.0,0.0,29.0,3.0,1.0,0.0,1.0,FW,,
1.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,88.0,4.0,4.0,179.0,4.0,0.0,1.0,0.0,0.0,0.0,0,0,4,4,1,0,0,0.0,0.0,12.0,194.0,5.0,4.0,11.0,20.0,8.0,12.0,90.0,105.0,3.0,0,1,0,0.0,1.0,0.0,1.0,1,ESP,Betis,51.0,3.0,14.0,1.0,52.0,110.0,Rodrigo,0,ESP,0.0,1.0,6.0,1,2.0,1.0,1.0,0.0,22.0,3.0,1.0,0.0,1.0,FW,,
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,26.0,0.0,1.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,1,4,1,0,0,0.0,0.0,1.0,54.0,10.0,8.0,3.0,21.0,7.0,0.0,28.0,33.0,6.0,0,0,0,0.0,0.0,0.0,0.0,0,ESP,Betis,19.0,1.0,0.0,0.0,20.0,36.0,Roberto Gonzalez,0,ESP,0.5,4.0,1.0,0,0.0,0.0,0.0,0.0,21.0,2.0,1.0,1.0,0.0,FW,MF,
2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,24.0,1.0,0.0,76.0,2.0,0.0,2.0,0.0,0.0,0.0,0,0,2,1,2,0,0,0.0,0.0,3.0,45.0,1.0,1.0,4.0,6.0,1.0,2.0,21.0,25.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,ESP,Betis,18.0,0.0,2.0,0.0,10.0,25.0,Sergio Canales,0,ESP,0.0,1.0,1.0,0,0.0,0.0,1.0,0.0,31.0,1.0,0.0,0.0,0.0,FW,,
